,name,A-sky,B-pattern,C-thick-dark,D-thick-white,E-veil
0,panel1_NVR_ch1_jpg_20230322164400.jpg,4.424425270599386e-06,0.0014534204638039228,12.288952618837357,85.4153573513031,2.294231578707695
1,panel1_NVR_ch1_jpg_20230322164800.jpg,1.774775743035306e-08,0.0052278130169725046,1.8718816339969635,97.81998991966248,0.30290866270661354
2,panel1_NVR_ch1_jpg_20230322165200.jpg,1.7405311567020298e-09,0.03397775290068239,39.80744183063507,58.484578132629395,1.6739970073103905
3,panel1_NVR_ch1_jpg_20230322165600.jpg,3.556563138613911e-11,0.40188999846577644,0.8559241890907288,98.49289059638977,0.2492882777005434
4,panel1_NVR_ch1_jpg_20230322170200.jpg,2.254394810277754e-18,0.031208305153995752,52.24885940551758,47.71652817726135,0.0034017692087218165
5,panel1_NVR_ch1_jpg_20230329091700.jpg,0.02822048554662615,0.00017969481405089027,14.607354998588562,0.4420754499733448,84.92216467857361
6,panel1_NVR_ch1_jpg_20230329092100.jpg,0.0023697670258115977,3.498846581351245e-05,20.090453326702118,0.3395986743271351,79.56753373146057
7,panel1_NVR_ch1_jpg_20230329092500.jpg,0.0018962760805152357,0.00021811094939039322,29.13472056388855,0.31462900806218386,70.54854035377502
8,panel1_NVR_ch1_jpg_20230329092900.jpg,6.471733513535582e-05,0.00011162567261635559,49.240392446517944,0.06378517718985677,50.695639848709106
9,panel1_NVR_ch1_jpg_20230329093300.jpg,3.099384571214614e-05,0.00018183967540608137,74.21606779098511,0.03285987477283925,25.75085759162903
10,panel1_NVR_ch1_jpg_20230329093700.jpg,9.338146611526099e-06,0.0011632632777036633,86.47645711898804,0.05997139378450811,13.462400436401367
11,panel1_NVR_ch1_jpg_20230329094200.jpg,4.87155418227303e-06,0.0007781655767757911,39.441218972206116,0.03314472269266844,60.52485108375549
12,panel1_NVR_ch1_jpg_20230329141400.jpg,0.003838499469566159,1.2160083279013634,15.698999166488647,4.774864017963409,78.30628752708435
13,panel1_NVR_ch1_jpg_20230329141800.jpg,0.002876131111406721,1.1357391253113747,13.572277128696442,3.274671360850334,82.01443552970886
14,panel1_NVR_ch1_jpg_20230329142200.jpg,0.006751943874405697,1.1829215101897717,15.731281042098999,3.0818000435829163,79.99724745750427
15,panel1_NVR_ch1_jpg_20230329142600.jpg,0.00995206501102075,1.467593014240265,12.762883305549622,3.2292503863573074,82.53031373023987
16,panel1_NVR_ch1_jpg_20230329143000.jpg,0.0426364247687161,2.9356323182582855,10.866612941026688,3.301825001835823,82.8532874584198
17,panel1_NVR_ch1_jpg_20230329143400.jpg,0.05119003471918404,3.6267273128032684,11.182767152786255,2.817329205572605,82.3219895362854
18,panel1_NVR_ch1_jpg_20230329144200.jpg,0.5187549628317356,4.000582918524742,14.370240271091461,4.274743422865868,76.83566808700562
19,panel1_NVR_ch1_jpg_20230329143800.jpg,0.17039142549037933,3.232540190219879,12.238962203264236,2.8740353882312775,81.48406744003296
20,panel1_NVR_ch1_jpg_20230329144600.jpg,0.35984774585813284,5.864248424768448,8.056875318288803,4.331289231777191,81.38774633407593
21,panel1_NVR_ch1_jpg_20230329145000.jpg,0.6641469430178404,5.580686777830124,14.539328217506409,6.0383956879377365,73.17743301391602
22,panel1_NVR_ch1_jpg_20230329145400.jpg,0.21905205212533474,4.836385324597359,20.21014839410782,5.720354989171028,69.01406049728394
23,panel1_NVR_ch1_jpg_20230329145800.jpg,0.08250570390373468,3.3195868134498596,29.03803586959839,5.844898521900177,61.71497106552124
24,panel1_NVR_ch1_jpg_20230329164100.jpg,0.003519209349178709,0.11053741909563541,54.11269664764404,16.863147914409637,28.910094499588013
25,panel1_NVR_ch1_jpg_20230329150700.jpg,0.029196470859460533,2.0978670567274094,32.83818960189819,6.272288411855698,58.76246094703674
26,panel1_NVR_ch1_jpg_20230329164500.jpg,0.0015949508451740257,0.0759412010665983,52.21644639968872,20.965084433555603,26.740938425064087
27,panel1_NVR_ch1_jpg_20230329164900.jpg,0.0015326793800340965,0.05864067352376878,55.14382719993591,20.90252935886383,23.89347106218338
28,panel1_NVR_ch1_jpg_20230329165300.jpg,0.0014444492080656346,0.04859992768615484,52.134770154953,22.53614068031311,25.27904212474823
29,panel1_NVR_ch1_jpg_20230329165700.jpg,0.0006649192528129788,0.03947955556213856,56.95766806602478,21.18200808763504,21.820180118083954
30,panel1_NVR_ch1_jpg_20230329170000.jpg,0.0003946556716982741,0.030464536393992603,57.5578510761261,23.17397892475128,19.237306714057922
31,panel1_NVR_ch1_jpg_20230329170500.jpg,0.00011033024520656909,0.01822172343963757,58.788228034973145,23.754572868347168,17.438869178295135
32,panel1_NVR_ch1_jpg_20230329171000.jpg,6.610385412386677e-05,0.01245022431248799,50.00394582748413,32.91158378124237,17.071951925754547
33,panel1_NVR_ch1_jpg_20230329171500.jpg,3.14350160124377e-05,0.007486861431971192,46.286892890930176,38.98482918739319,14.7207573056221
34,panel1_NVR_ch1_jpg_20230329172100.jpg,1.9050293076361413e-05,0.004212831117911264,47.32274115085602,40.92056751251221,11.75246313214302
